id,user,uid,version,changeset,timestamp
8947114,adbrown,54598,2,303372,2008-08-18T03:30:34Z
8947131,stevea,123633,8,4339712,2010-04-05T23:05:58Z
8947134,balrog-kun,20587,3,4245390,2010-03-27T12:16:31Z
8947155,maxerickson,360392,11,27533305,2014-12-17T16:00:03Z
8947165,mk408,201724,4,3930619,2010-02-21T08:25:47Z
8947184,Bike Mapper,74705,7,38434901,2016-04-09T18:45:50Z
8947190,balrog-kun,20587,3,4245390,2010-03-27T12:16:38Z
8947192,balrog-kun,20587,3,4245390,2010-03-27T12:16:39Z
8947194,balrog-kun,20587,6,4245390,2010-03-27T12:16:39Z
8947195,balrog-kun,20587,8,4245390,2010-03-27T12:16:39Z
8947198,Bike Mapper,74705,5,38629460,2016-04-16T19:14:55Z
8947199,mk408,201724,4,6963977,2011-01-14T04:05:24Z
8947210,mk408,201724,10,6845748,2011-01-03T02:00:03Z
8947222,balrog-kun,20587,3,4245390,2010-03-27T12:16:44Z
8947224,balrog-kun,20587,3,4245390,2010-03-27T12:16:44Z
8947225,Jon Bale,3953509,11,39383964,2016-05-17T18:35:58Z
8947227,phoenix23,383461,9,21466418,2014-04-02T21:17:35Z
8947237,balrog-kun,20587,3,4245390,2010-03-27T12:16:48Z
8947251,adbrown,54598,6,7623354,2011-03-21T00:32:54Z
8947253,Minh Nguyen,33757,9,33996643,2015-09-13T10:08:50Z
8947254,andrewpmk,1679,6,33685315,2015-08-30T15:53:59Z
8947256,wallclimber21,81024,3,2713705,2009-10-02T16:04:41Z
8947261,42429,42429,11,8084921,2011-05-08T17:12:57Z
8947274,mk408,201724,7,7099154,2011-01-26T23:13:07Z
8947278,n76,318696,19,23690881,2014-07-02T23:09:08Z
8947305,Paul Vernaza,18685,11,46725493,2017-03-10T00:16:59Z
8947309,KristenK,1494110,6,32150065,2015-06-22T22:49:22Z
8947318,oba510,933797,5,45994123,2017-02-11T10:20:46Z
8947320,balrog-kun,20587,3,4245390,2010-03-27T12:16:59Z
8947321,balrog-kun,20587,4,4245390,2010-03-27T12:16:59Z
8947323,Bike Mapper,74705,11,16065762,2013-05-10T15:07:02Z
8947324,Bike Mapper,74705,10,6707513,2010-12-19T16:11:50Z
8947329,phoenix23,383461,14,20994138,2014-03-08T20:33:38Z
8947330,Bike Mapper,74705,6,39025015,2016-05-01T20:19:10Z
8947349,mk408,201724,7,3940145,2010-02-21T23:46:53Z
8947351,n76,318696,7,23684065,2014-07-02T22:43:03Z
8947352,Bike Mapper,74705,6,27619636,2014-12-21T22:25:33Z
8947357,Bike Mapper,74705,6,39007914,2016-04-30T22:49:39Z
8947365,balrog-kun,20587,3,4245390,2010-03-27T12:17:07Z
8947371,balrog-kun,20587,3,4245390,2010-03-27T12:17:09Z
8947377,Bike Mapper,74705,5,39314042,2016-05-14T15:40:39Z
8947387,balrog-kun,20587,6,4245390,2010-03-27T12:17:12Z
8947391,Bike Mapper,74705,4,7268545,2011-02-12T19:36:11Z
8947392,andrewpmk,1679,6,33685296,2015-08-30T15:53:06Z
8947395,Minh Nguyen,33757,17,32618462,2015-07-14T04:04:45Z
8947400,Lhelfrich,425864,13,10055182,2011-12-07T05:51:43Z
8947402,Bike Mapper,74705,4,16580399,2013-06-16T19:16:21Z
8947420,oba510,933797,10,15168354,2013-02-26T00:28:57Z
8947426,gaku,19532,11,9277055,2011-09-12T05:19:05Z
8947429,balrog-kun,20587,6,4245390,2010-03-27T12:17:19Z
8947430,andrewpmk,1679,5,33685315,2015-08-30T15:54:01Z
8947434,balrog-kun,20587,4,4245390,2010-03-27T12:17:21Z
8947435,doug_sfba,1796809,4,27622980,2014-12-22T04:26:20Z
8947447,n76,318696,5,26720316,2014-11-11T19:47:10Z
8947452,balrog-kun,20587,4,4245390,2010-03-27T12:17:22Z
8947453,balrog-kun,20587,3,4245390,2010-03-27T12:17:23Z
8947457,OJW,1337,2,319549,2008-05-03T17:35:42Z
8947458,balrog-kun,20587,4,4245390,2010-03-27T12:17:24Z
8947459,balrog-kun,20587,3,4245390,2010-03-27T12:17:24Z
8947462,TorieRob,3821658,14,39251851,2016-05-11T20:13:14Z
8947476,balrog-kun,20587,2,4245390,2010-03-27T12:17:26Z
8947480,mk408,201724,9,4121221,2010-03-14T06:23:37Z
8947494,balrog-kun,20587,2,4245390,2010-03-27T12:17:28Z
8947497,mk408,201724,5,3930298,2010-02-21T07:15:37Z
